Counter,Time (s),Distance (cm)
1,2.073305130004883,12.818000000000001
2,2.174434185028076,13.464
3,2.275886058807373,12.512
4,2.376988172531128,13.379000000000001
5,2.480966091156006,15.895000000000001
6,2.5908432006835938,19.805
7,2.7007250785827637,24.123
8,2.8129541873931885,28.611
9,2.927412986755371,31.892000000000003
10,3.0402181148529053,32.878
11,3.15254807472229,31.331000000000003
12,3.2632291316986084,27.982000000000003
13,3.3730270862579346,23.562
14,3.4814720153808594,19.380000000000003
15,3.58410906791687,15.572000000000001
16,3.685338020324707,13.515
17,3.786278009414673,13.039000000000001
18,3.8875350952148438,14.127
19,3.9926140308380127,16.813000000000002
20,4.102766036987305,20.723000000000003
21,4.2138330936431885,25.245
22,4.3247010707855225,29.104000000000003
23,4.438965082168579,32.01152000000000004
24,4.550935983657837,32.266000000000005
25,4.663664102554321,30.226000000000003
26,4.77478814125061,26.860000000000003
27,4.884526968002319,22.610000000000003
28,4.993546009063721,18.598000000000003
29,5.095180034637451,15.215000000000002
30,5.198379039764404,13.532000000000002
31,5.2994489669799805,13.634
32,5.400969982147217,15.164000000000001
33,5.507858037948608,17.952
34,5.617614984512329,22.049000000000003
35,5.730061054229736,26.180000000000003
36,5.841495990753174,29.869000000000003
37,5.953433036804199,32.011
38,6.065083026885986,31.875000000000004
39,6.175956964492798,29.342000000000002
40,6.287461996078491,25.721
41,6.397032022476196,21.709000000000003
42,6.504083156585693,17.731
43,6.606103181838989,14.943000000000001
44,6.709496021270752,13.532000000000002
45,6.8114330768585205,13.957
46,6.916393041610718,16.014000000000003
47,7.024739980697632,19.193
48,7.134135007858276,23.069000000000003
49,7.246206045150757,27.166
50,7.3577721118927,30.379
51,7.470535039901733,31.875000000000004
52,7.582961082458496,30.872000000000003
53,7.694461107254028,28.152
54,7.80525016784668,24.446
55,7.914016008377075,20.519000000000002
56,8.018891096115112,16.813000000000002
57,8.121088027954102,14.654000000000002
58,8.222265005111694,13.804
59,8.326014041900635,14.586
60,8.430597066879272,16.847
61,8.539775133132935,20.247
62,8.650485038757324,24.208000000000002
63,8.76238203048706,27.880000000000003
64,8.874567985534668,30.736
65,8.987859010696411,31.654000000000003
66,9.09952998161316,29.971000000000004
67,9.211542129516602,26.911
68,9.321652173995972,23.290000000000003
69,9.429798126220703,19.499000000000002
70,9.533682107925415,16.252000000000002
71,9.635596990585327,14.535000000000002
72,9.736570119857788,14.110000000000001
73,9.838097095489502,15.249
74,9.945243120193481,17.884
75,10.054203987121582,21.352
76,10.165067195892334,25.262
77,10.276949167251587,28.441000000000003
78,10.388621091842651,30.974000000000004
79,10.500145196914673,31.127000000000002
80,10.611411094665527,29.342000000000002
81,10.721947193145752,26.248
82,10.83150601387024,22.491000000000003
83,10.939503192901611,18.921000000000003
84,11.043869018554688,15.946000000000002
85,11.145078182220459,14.382000000000001
86,11.24664306640625,14.501000000000001
87,11.348831176757812,15.861
88,11.457321166992188,18.632
89,11.566241025924683,22.253
90,11.67693305015564,25.942
91,11.78898811340332,29.053
92,11.901112079620361,30.838
93,12.014332056045532,30.685000000000002
94,12.12650203704834,28.492
95,12.238012075424194,24.939
96,12.349421977996826,21.301000000000002
97,12.456459045410156,18.037000000000003
98,12.55834412574768,15.691
99,12.659816026687622,14.586
100,12.762977123260498,15.045000000000002
101,12.866599082946777,16.728
102,12.974975109100342,19.839000000000002
103,13.08517599105835,23.307000000000002
104,13.19619607925415,26.911
105,13.308232069015503,29.512
106,13.421033143997192,30.634000000000004
107,13.534730195999146,29.699
108,13.646008968353271,27.166
109,13.756067037582397,23.8
110,13.86543607711792,20.417
111,13.971120119094849,17.289
112,14.07334017753601,15.334000000000001
113,14.17438006401062,14.722000000000001
114,14.276386022567749,15.538
115,14.382727146148682,17.765
116,14.493957996368408,20.944000000000003
117,14.603698968887329,24.344
118,14.714729070663452,27.489
119,14.827069997787476,29.733
120,14.939372062683105,30.396
121,15.051145076751709,28.815
122,15.162552118301392,26.163
123,15.272911071777344,22.882
124,15.381612062454224,19.516000000000002
125,15.486890077590942,16.71152000000000003
126,15.588853120803833,15.147
127,15.691202163696289,15.147
128,15.79451298713684,16.405
129,15.904072046279907,18.751
130,16.014116048812866,22.032
131,16.12416100502014,25.381
132,16.235587120056152,28.288000000000004
133,16.347833156585693,29.954
134,16.459211111068726,29.750000000000004
135,16.570016145706177,27.931
136,16.68232798576355,25.109
137,16.792067050933838,21.709000000000003
138,16.900561094284058,18.666
139,17.003116130828857,16.303
140,17.106120109558105,15.01152000000000002
141,17.208193063735962,15.538
142,17.314175128936768,17.153000000000002
143,17.42410111427307,19.89
144,17.534139156341553,23.188000000000002
145,17.646170139312744,26.384
146,17.75785803794861,28.883000000000003
147,17.870198011398315,29.903000000000002
148,17.981791019439697,29.155
149,18.092123985290527,26.911
150,18.201503038406372,24.055000000000003
151,18.31188416481018,20.723000000000003
152,18.41996717453003,17.969
153,18.52193808555603,16.048000000000002
154,18.624298095703125,15.487000000000002
155,18.72671413421631,16.133000000000003
156,18.83355402946472,18.054000000000002
157,18.942376136779785,20.859
158,19.052467107772827,24.276000000000003
159,19.163092136383057,27.047
160,19.277013063430786,28.968000000000004
161,19.388916969299316,29.614
162,19.500908136367798,28.441000000000003
163,19.612354040145874,25.942
164,19.722650051116943,22.848000000000003
165,19.831542015075684,19.89
166,19.937391996383667,17.34
167,20.03984498977661,15.946000000000002
168,20.141481161117554,15.725000000000001
169,20.245076179504395,16.830000000000002
170,20.353166103363037,19.108
171,20.46445608139038,21.981
172,20.574377059936523,25.058000000000003
173,20.685296058654785,27.693
174,20.796646118164062,29.189000000000004
175,20.90788698196411,28.985000000000003
176,21.02056908607483,27.404000000000003
177,21.13108801841736,25.075000000000003
178,21.241355180740356,21.896
179,21.35075306892395,19.108
180,21.455424070358276,16.898
181,21.55738615989685,15.878000000000002
182,21.6615731716156,16.167
183,21.769742012023926,17.561
184,21.87839102745056,20.281000000000002
185,21.988553047180176,23.035
186,22.100382089614868,26.112000000000002
187,22.21178913116455,28.118000000000002
188,22.322641134262085,28.934
189,22.43485713005066,28.475
190,22.545335054397583,26.435000000000002
191,22.655603170394897,23.766000000000002
192,22.766637086868286,20.825000000000003
193,22.874773025512695,18.326
194,22.977642059326172,16.541
195,23.079451084136963,16.218
196,23.183427095413208,16.745
197,23.291835069656372,18.734
198,23.40125012397766,21.25
199,23.512155055999756,24.072000000000003
200,23.622745990753174,26.741000000000003
201,23.733808040618896,28.373
202,23.844856023788452,28.883000000000003
203,23.95535111427307,27.897000000000002
204,24.066166162490845,25.415000000000003
205,24.175279140472412,22.882
206,24.283161163330078,20.111
207,24.39275598526001,17.85
208,24.49455213546753,16.354000000000003
209,24.596644163131714,16.388
210,24.703402996063232,17.34
211,24.81258511543274,19.380000000000003
212,24.921701192855835,22.134
213,25.03116512298584,24.752000000000002
214,25.14255714416504,27.251
215,25.25424599647522,28.560000000000002
216,25.365090131759644,28.441000000000003
217,25.476632118225098,26.945
218,25.58681607246399,24.667
219,25.695938110351562,21.777
220,25.804221153259277,19.346
221,25.911450147628784,17.374000000000002
222,26.013694047927856,16.32
223,26.117951154708862,16.881
224,26.22708797454834,18.275000000000002
225,26.336238145828247,20.57
226,26.44555902481079,23.222
227,26.555561065673828,25.551000000000002
228,26.666418075561523,27.744000000000003
229,26.777398109436035,28.39
230,26.88812518119812,27.744000000000003
231,26.99879217147827,25.976000000000003
232,27.110507011413574,23.494000000000003
233,27.221476078033447,20.621000000000002
234,27.329967975616455,18.581000000000003
235,27.43605613708496,17.017
236,27.538995027542114,16.745
237,27.644354104995728,17.323
238,27.753398180007935,19.159000000000002
239,27.862263202667236,21.556
240,27.97241711616516,24.310000000000002
241,28.08276915550232,26.401000000000003
242,28.1947979927063,27.863000000000003
243,28.304835081100464,28.067000000000004
244,28.415338039398193,27.166
245,28.52540898323059,25.041
